t mix true
0.404297 0.375515 0.375515
0.409180 0.375515 0.375515
0.414062 0.375515 0.375515
0.418945 0.375515 0.375515
0.423828 0.375515 0.375515
0.428711 0.375515 0.375515
0.433594 0.375515 0.375515
0.438477 0.375515 0.375515
0.443359 0.375515 0.375515
0.448242 0.375515 0.375515
0.453125 0.375515 0.375515
0.458008 0.375515 0.375515
0.462891 0.375515 0.375515
0.467773 0.375515 0.375515
0.472656 0.375515 0.375515
0.477539 0.375515 0.375515
0.482422 0.375515 0.375515
0.487305 0.375515 0.375515
0.492188 0.375515 0.375515
0.497070 0.375515 0.375515
0.501953 0.375515 0.375515
0.506836 0.375515 0.375515
0.511719 0.375515 0.375515
0.516602 0.375515 0.375515
0.521484 0.375515 0.375515
0.526367 0.375515 0.375515
0.531250 0.375515 0.375515
0.536133 0.375515 0.375515
0.541016 0.375515 0.375515
0.545898 0.375515 0.375515
0.550781 0.375515 0.375515
0.555664 0.375515 0.375515
0.560547 0.375515 0.375515
0.565430 0.375515 0.375515
0.570312 0.375515 0.375515
0.575195 0.375515 0.375515
0.580078 0.375515 0.375515
0.584961 0.375515 0.375515
0.589844 0.375515 0.375515
0.594727 0.375515 0.375515
0.599609 0.375515 0.375515
0.604492 0.375515 0.375515
0.609375 0.375515 0.375515
0.610352 0.262722 0.280856
0.615234 0.149929 0.150017
0.620117 0.149929 0.149929
0.625000 0.149929 0.149929
0.629883 0.149929 0.149929
0.634766 0.149929 0.149929
0.639648 0.149929 0.149929
0.644531 0.149929 0.149929
0.649414 0.149929 0.149929
0.654297 0.149929 0.149929
0.659180 0.149929 0.149929
0.664062 0.149929 0.149929
0.668945 0.149929 0.149929
0.673828 0.149929 0.149929
0.678711 0.149929 0.149929
0.683594 0.149929 0.149929
0.688477 0.149929 0.149929
0.693359 0.149929 0.149929
0.698242 0.149929 0.149929
0.703125 0.149929 0.149929
0.708008 0.149929 0.149929
0.712891 0.149929 0.149929
0.717773 0.149929 0.149929
0.722656 0.149929 0.149929
0.727539 0.149929 0.149929
0.732422 0.149929 0.149929
0.737305 0.149929 0.149929
0.742188 0.149929 0.149929
0.747070 0.149929 0.149929
0.751953 0.149929 0.149929
0.756836 0.149929 0.149929
0.761719 0.149929 0.149929
0.766602 0.149929 0.149929
0.771484 0.149929 0.149929
0.776367 0.149929 0.149929
0.781250 0.149929 0.149929
0.786133 0.149929 0.149929
0.791016 0.149929 0.149929
0.795898 0.149929 0.149929
0.800781 0.149929 0.149929
0.803711 0.093753 0.099818
0.808594 0.037577 0.037601
0.813477 0.037577 0.037577
0.818359 0.037577 0.037577
0.823242 0.037577 0.037577
0.828125 0.037577 0.037577
0.833008 0.037577 0.037577
0.837891 0.037577 0.037577
0.842773 0.037577 0.037577
0.847656 0.037577 0.037577
0.852539 0.037577 0.037577
0.857422 0.037577 0.037577
0.862305 0.037577 0.037577
0.867188 0.037577 0.037577
0.872070 0.037577 0.037577
0.876953 0.037577 0.037577
0.881836 0.037577 0.037577
0.886719 0.037577 0.037577
0.891602 0.037577 0.037577
0.896484 0.037577 0.037577
0.901367 0.037577 0.037577
0.906250 0.037577 0.037577
0.911133 0.037577 0.037577
0.916016 0.037577 0.037577
0.920898 0.037577 0.037577
0.924561 0.021447 0.022550
0.929443 0.005334 0.005338
0.934326 0.005329 0.005329
0.939209 0.005329 0.005329
0.944092 0.005329 0.005329
0.948975 0.005329 0.005329
0.953857 0.005329 0.005329
0.958740 0.005329 0.005329
0.963623 0.005329 0.005329
0.968506 0.005329 0.005329
0.973389 0.005328 0.005328
0.978271 0.002851 0.002948
0.983154 0.000372 0.000372
0.988037 0.000372 0.000372
0.992920 0.000372 0.000372
0.994385 0.000191 0.000194
0.999268 0.000007 0.000007
