t gamma
0.559570 1.000000
0.560547 1.000000
0.561523 1.000000
0.562500 1.000000
0.563477 1.000000
0.564453 1.000000
0.565430 1.000000
0.566406 1.000000
0.567383 1.000000
0.568359 1.000000
0.569336 1.000000
0.570312 1.000000
0.571289 1.000000
0.572266 1.000000
0.573242 1.000000
0.574219 1.000000
0.575195 1.000000
0.576172 1.000000
0.577148 1.000000
0.578125 1.000000
0.579102 1.000000
0.580078 1.000000
0.581055 1.000000
0.582031 1.000000
0.583008 1.000000
0.583984 1.000000
0.584961 1.000000
0.585938 1.000000
0.586914 1.000000
0.587891 1.000000
0.588867 1.000000
0.589844 1.000000
0.590820 1.000000
0.591797 1.000000
0.592773 1.000000
0.593750 1.000000
0.594727 1.000000
0.595703 1.000000
0.596680 1.000000
0.597656 1.000000
0.598633 1.000000
0.599609 1.000000
0.600586 1.000000
0.601562 1.000000
0.602539 1.000000
0.603516 1.000000
0.604492 1.000000
0.605469 1.000000
0.606445 1.000000
0.607422 1.000000
0.608398 1.000000
0.609375 1.000000
0.610352 0.999750
0.611328 0.999500
0.612305 0.998750
0.613281 0.998750
0.614258 0.998000
0.615234 0.995500
0.616211 0.990500
0.617188 0.984000
0.618164 0.972500
0.619141 0.937000
0.620117 0.890000
0.621094 0.774000
0.622070 0.611250
0.623047 0.374250
0.624023 0.222250
0.625000 0.116000
0.625977 0.063250
0.626953 0.040000
0.627930 0.016500
0.628906 0.009500
0.629883 0.005000
0.630859 0.001750
0.631836 0.001000
0.632812 0.000500
0.633789 0.000500
0.634766 0.000000
0.635742 0.000000
0.636719 0.000000
0.637695 0.000000
0.638672 0.000000
0.639648 0.000000
0.640625 0.000000
0.641602 0.000000
0.642578 0.000000
0.643555 0.000000
0.644531 0.000000
0.645508 0.000000
0.646484 0.000000
0.647461 0.000000
0.648438 0.000000
0.649414 0.000000
0.650391 0.000000
0.651367 0.000000
0.652344 0.000000
0.653320 0.000000
0.654297 0.000000
0.655273 0.000000
0.656250 0.000000
0.657227 0.000000
0.658203 0.000000
0.659180 0.000000
0.660156 0.000000
0.661133 0.000000
0.662109 0.000000
0.663086 0.000000
0.664062 0.000000
0.665039 0.000000
0.666016 0.000000
0.666992 0.000000
0.667969 0.000000
0.668945 0.000000
0.669922 0.000000
0.670898 0.000000
0.671875 0.000000
0.672852 0.000000
0.673828 0.000000
0.674805 0.000000
0.675781 0.000000
0.676758 0.000000
0.677734 0.000000
0.678711 0.000000
0.679688 0.000000
0.680664 0.000000
0.681641 0.000000
0.682617 0.000000
0.683594 0.000000
0.684570 0.000000
0.685547 0.000000
0.686523 0.000000
0.687500 0.000000
0.688477 0.000000
0.689453 0.000000
0.690430 0.000000
0.691406 0.000000
0.692383 0.000000
0.693359 0.000000
0.694336 0.000000
0.695312 0.000000
0.696289 0.000000
0.697266 0.000000
0.698242 0.000000
0.699219 0.000000
0.700195 0.000000
0.701172 0.000000
0.702148 0.000000
0.703125 0.000000
0.704102 0.000000
0.705078 0.000000
0.706055 0.000000
0.707031 0.000000
0.708008 0.000000
0.708984 0.000000
0.709961 0.000000
0.710938 0.000000
0.711914 0.000000
0.712891 0.000000
0.713867 0.000000
0.714844 0.000000
0.715820 0.000000
0.716797 0.000000
0.717773 0.000000
0.718750 0.000000
0.719727 0.000000
0.720703 0.000000
0.721680 0.000000
0.722656 0.000000
0.723633 0.000000
0.724609 0.000000
0.725586 0.000000
0.726562 0.000000
0.727539 0.000000
0.728516 0.000000
0.729492 0.000000
0.730469 0.000000
0.731445 0.000000
0.732422 0.000000
0.733398 0.000000
0.734375 0.000000
0.735352 0.000000
0.736328 0.000000
0.737305 0.000000
0.738281 0.000000
0.739258 0.000000
0.740234 0.000000
0.741211 0.000000
0.742188 0.000000
0.743164 0.000000
0.744141 0.000000
0.745117 0.000000
0.746094 0.000000
0.747070 0.000000
0.748047 0.000000
0.749023 0.000000
0.750000 0.000000
0.750977 0.000000
0.751953 0.000000
0.752930 0.000000
0.753906 0.000000
0.754883 0.000000
0.755859 0.000000
0.756836 0.000000
0.757812 0.000000
0.758789 0.000000
0.759766 0.000000
0.760742 0.000000
0.761719 0.000000
0.762695 0.000000
0.763672 0.000000
0.764648 0.000000
0.765625 0.000000
0.766602 0.000000
0.767578 0.000000
0.768555 0.000000
0.769531 0.000000
0.770508 0.000000
0.771484 0.000000
0.772461 0.000000
0.773438 0.000000
0.774414 0.000000
0.775391 0.000000
0.776367 0.000000
0.777344 0.000000
0.778320 0.000000
0.779297 0.000000
0.780273 0.000000
0.781250 0.000000
0.782227 0.000000
0.783203 0.000000
0.784180 0.000000
0.785156 0.000000
0.786133 0.000000
