p lcorrect lwrong lexpected
0.463666 8.66961 -0.386877 2.10965
0.466172 8.72723 -0.397165 2.11695
0.468678 8.78503 -0.407459 2.12425
0.471184 8.84301 -0.417758 2.13156
0.473689 8.90116 -0.428064 2.13887
0.476195 8.95949 -0.438374 2.14619
0.478701 9.018 -0.448689 2.15351
0.481207 9.07669 -0.459009 2.16084
0.483713 9.13557 -0.469333 2.16817
0.486218 9.19462 -0.47966 2.17552
0.488724 9.25387 -0.489991 2.18286
0.49123 9.3133 -0.500326 2.19022
0.493736 9.37292 -0.510663 2.19758
0.496241 9.43273 -0.521002 2.20495
0.498747 9.49273 -0.531344 2.21232
0.501253 9.55292 -0.541687 2.2197
0.503759 9.61331 -0.552032 2.22709
0.506264 9.6739 -0.562378 2.23448
0.50877 9.73468 -0.572725 2.24188
0.511276 9.79567 -0.583072 2.24929
0.513782 9.85685 -0.59342 2.2567
0.516287 9.91825 -0.603767 2.26412
0.518793 9.97984 -0.614114 2.27155
0.521299 10.0416 -0.62446 2.27899
0.523805 10.1037 -0.634804 2.28643
0.526311 10.1659 -0.645147 2.29388
0.528816 10.2283 -0.655488 2.30134
0.531322 10.291 -0.665827 2.30881
0.533828 10.3539 -0.676163 2.31628
0.536334 10.4169 -0.686496 2.32376
0.538839 10.4803 -0.696826 2.33126
0.541345 10.5438 -0.707152 2.33875
0.543851 10.6076 -0.717474 2.34626
0.546357 10.6715 -0.727792 2.35378
0.548862 10.7358 -0.738105 2.3613
0.551368 10.8002 -0.748413 2.36884
0.553874 10.8649 -0.758716 2.37638
0.55638 10.9298 -0.769012 2.38393
0.558885 10.995 -0.779303 2.39149
0.561391 11.0604 -0.789587 2.39906
0.563897 11.1261 -0.799864 2.40664
0.566403 11.192 -0.810134 2.41423
0.568909 11.2581 -0.820396 2.42183
0.571414 11.3245 -0.830651 2.42944
0.57392 11.3912 -0.840896 2.43706
0.576426 11.4581 -0.851134 2.4447
0.578932 11.5253 -0.861362 2.45234
0.581437 11.5927 -0.87158 2.45999
0.583943 11.6604 -0.881789 2.46765
0.586449 11.7284 -0.891987 2.47532
0.588955 11.7967 -0.902175 2.48301
0.59146 11.8652 -0.912351 2.4907
0.593966 11.934 -0.922516 2.49841
0.596472 12.0031 -0.93267 2.50613
0.598978 12.0725 -0.942811 2.51386
0.601483 12.1421 -0.952939 2.52161
0.603989 12.2121 -0.963054 2.52936
0.606495 12.2823 -0.973156 2.53713
0.609001 12.3529 -0.983244 2.54491
0.611507 12.4237 -0.993318 2.55271
0.614012 12.4949 -1.00338 2.56051
0.616518 12.5663 -1.01342 2.56834
0.619024 12.6381 -1.02345 2.57617
0.62153 12.7102 -1.03346 2.58402
0.624035 12.7826 -1.04346 2.59188
0.626541 12.8554 -1.05344 2.59976
0.629047 12.9284 -1.0634 2.60765
0.631553 13.0019 -1.07334 2.61555
0.634058 13.0756 -1.08327 2.62348
0.636564 13.1497 -1.09317 2.63141
0.63907 13.2241 -1.10306 2.63936
0.641576 13.2989 -1.11293 2.64733
0.644081 13.374 -1.12278 2.65532
0.646587 13.4495 -1.1326 2.66332
0.649093 13.5254 -1.14241 2.67133
0.651599 13.6016 -1.1522 2.67937
0.654105 13.6782 -1.16196 2.68742
0.65661 13.7552 -1.1717 2.69549
0.659116 13.8326 -1.18142 2.70357
0.661622 13.9104 -1.19111 2.71168
0.664128 13.9885 -1.20078 2.7198
0.666633 14.0671 -1.21042 2.72794
0.669139 14.1461 -1.22004 2.7361
0.671645 14.2254 -1.22964 2.74428
0.674151 14.3052 -1.2392 2.75248
0.676656 14.3855 -1.24875 2.7607
0.679162 14.4661 -1.25826 2.76894
0.681668 14.5472 -1.26774 2.7772
0.684174 14.6288 -1.2772 2.78548
0.686679 14.7108 -1.28663 2.79379
0.689185 14.7932 -1.29603 2.80211
0.691691 14.8761 -1.3054 2.81046
0.694197 14.9595 -1.31473 2.81883
0.696703 15.0434 -1.32404 2.82723
0.699208 15.1277 -1.33331 2.83564
0.701714 15.2126 -1.34255 2.84408
0.70422 15.2979 -1.35176 2.85255
0.706726 15.3838 -1.36093 2.86104
0.709231 15.4702 -1.37007 2.86956
0.711737 15.5571 -1.37917 2.8781
0.714243 15.6445 -1.38824 2.88667
0.716749 15.7325 -1.39727 2.89526
0.719254 15.8211 -1.40626 2.90388
0.72176 15.9102 -1.41521 2.91253
0.724266 15.9998 -1.42412 2.92121
0.726772 16.0901 -1.433 2.92992
0.729277 16.181 -1.44183 2.93866
0.731783 16.2724 -1.45062 2.94742
0.734289 16.3645 -1.45937 2.95622
0.736795 16.4572 -1.46807 2.96505
0.739301 16.5505 -1.47674 2.97391
0.741806 16.6445 -1.48535 2.9828
0.744312 16.7392 -1.49392 2.99173
0.746818 16.8345 -1.50245 3.00069
0.749324 16.9305 -1.51092 3.00968
0.751829 17.0272 -1.51935 3.01871
0.754335 17.1246 -1.52773 3.02777
0.756841 17.2228 -1.53605 3.03688
0.759347 17.3217 -1.54433 3.04602
0.761852 17.4213 -1.55255 3.05519
0.764358 17.5217 -1.56072 3.06441
0.766864 17.623 -1.56883 3.07366
0.76937 17.725 -1.57689 3.08296
0.771875 17.8278 -1.58489 3.0923
0.774381 17.9315 -1.59283 3.10168
0.776887 18.036 -1.60072 3.1111
0.779393 18.1414 -1.60854 3.12057
0.781898 18.2477 -1.6163 3.13008
0.784404 18.3549 -1.62399 3.13964
0.78691 18.463 -1.63163 3.14925
0.789416 18.5721 -1.63919 3.1589
0.791922 18.6821 -1.64669 3.16861
0.794427 18.7932 -1.65412 3.17836
0.796933 18.9053 -1.66148 3.18817
0.799439 19.0184 -1.66876 3.19803
0.801945 19.1326 -1.67598 3.20795
0.80445 19.2479 -1.68311 3.21792
0.806956 19.3643 -1.69017 3.22794
0.809462 19.4819 -1.69716 3.23803
0.811968 19.6007 -1.70406 3.24818
0.814473 19.7207 -1.71087 3.25838
0.816979 19.8419 -1.71761 3.26865
0.819485 19.9644 -1.72426 3.27899
0.821991 20.0882 -1.73081 3.28939
0.824496 20.2134 -1.73728 3.29986
0.827002 20.3399 -1.74366 3.3104
0.829508 20.4679 -1.74994 3.32101
0.832014 20.5973 -1.75612 3.3317
0.83452 20.7283 -1.7622 3.34246
0.837025 20.8608 -1.76818 3.3533
0.839531 20.9949 -1.77406 3.36422
0.842037 21.1306 -1.77983 3.37522
0.844543 21.268 -1.78548 3.38631
0.847048 21.4072 -1.79102 3.39748
0.849554 21.5482 -1.79645 3.40874
0.85206 21.6911 -1.80175 3.4201
0.854566 21.8359 -1.80693 3.43156
0.857071 21.9827 -1.81199 3.44311
0.859577 22.1315 -1.81691 3.45476
0.862083 22.2825 -1.82169 3.46652
0.864589 22.4357 -1.82634 3.47839
0.867094 22.5912 -1.83085 3.49037
0.8696 22.7491 -1.83521 3.50247
0.872106 22.9094 -1.83941 3.51469
0.874612 23.0723 -1.84346 3.52703
0.877118 23.2378 -1.84734 3.5395
0.879623 23.4061 -1.85106 3.55211
0.882129 23.5773 -1.8546 3.56485
0.884635 23.7515 -1.85796 3.57774
0.887141 23.9288 -1.86114 3.59078
0.889646 24.1093 -1.86412 3.60398
0.892152 24.2933 -1.8669 3.61733
0.894658 24.4809 -1.86948 3.63086
0.897164 24.6721 -1.87183 3.64457
0.899669 24.8673 -1.87397 3.65845
0.902175 25.0666 -1.87587 3.67253
0.904681 25.2702 -1.87752 3.68682
0.907187 25.4784 -1.87892 3.70131
0.909692 25.6913 -1.88005 3.71602
0.912198 25.9093 -1.8809 3.73097
0.914704 26.1326 -1.88147 3.74615
0.91721 26.3615 -1.88172 3.7616
0.919716 26.5964 -1.88166 3.77732
0.922221 26.8377 -1.88126 3.79332
0.924727 27.0857 -1.8805 3.80962
0.927233 27.341 -1.87937 3.82624
0.929739 27.6039 -1.87784 3.8432
0.932244 27.8751 -1.87589 3.86053
0.93475 28.1552 -1.87349 3.87823
0.937256 28.4448 -1.87062 3.89635
0.939762 28.7448 -1.86724 3.91491
0.942267 29.0559 -1.86332 3.93394
0.944773 29.3792 -1.85882 3.95348
0.947279 29.7157 -1.85369 3.97358
0.949785 30.0668 -1.84789 3.99426
0.95229 30.4339 -1.84135 4.0156
0.954796 30.8187 -1.83401 4.03766
0.957302 31.2232 -1.8258 4.06049
0.959808 31.6498 -1.81663 4.08419
0.962314 32.1013 -1.8064 4.10885
0.964819 32.581 -1.79498 4.13459
0.967325 33.0932 -1.78223 4.16154
0.969831 33.6429 -1.76797 4.18988
0.972337 34.2366 -1.75198 4.2198
0.974842 34.8826 -1.734 4.25159
0.977348 35.5917 -1.71366 4.28556
0.979854 36.3788 -1.69051 4.32217
0.98236 37.2645 -1.66392 4.36203
0.984865 38.2788 -1.633 4.406
0.987371 39.4683 -1.59643 4.45538
0.989877 40.9107 -1.55211 4.51222
0.992383 42.7505 -1.49629 4.58023
0.994888 45.3091 -1.42125 4.66712
0.997394 49.5901 -1.30498 4.795
0.9999 70.0484 -0.915113 5.204
