p hbefore scorrect swrong sexpected hcorrect hwrong hexpected
0.526311 12.0143 0.633239 3.07796 1.50178 5.57683 14 8.56935
0.528816 11.9774 0.629039 3.08562 1.49718 5.5434 14 8.5319
0.531322 11.9404 0.624852 3.09331 1.49255 5.51005 14 8.49438
0.533828 11.9032 0.620677 3.10104 1.4879 5.47679 14 8.4568
0.536334 11.8658 0.616514 3.10882 1.48323 5.44361 14 8.41914
0.538839 11.8282 0.612363 3.11664 1.47853 5.41052 14 8.38141
0.541345 11.7905 0.608224 3.1245 1.47381 5.37751 14 8.34362
0.543851 11.7526 0.604097 3.1324 1.46907 5.34459 14 8.30575
0.546357 11.7145 0.599982 3.14035 1.46431 5.31175 14 8.26782
0.548862 11.6762 0.595878 3.14834 1.45952 5.27899 14 8.22982
0.551368 11.6377 0.591786 3.15637 1.45472 5.24631 14 8.19174
0.553874 11.5991 0.587705 3.16445 1.44988 5.21371 14 8.1536
0.55638 11.5602 0.583636 3.17258 1.44503 5.1812 14 8.11539
0.558885 11.5212 0.579579 3.18075 1.44015 5.14876 14 8.07711
0.561391 11.482 0.575533 3.18897 1.43525 5.1164 14 8.03876
0.563897 11.4426 0.571498 3.19724 1.43033 5.08412 14 8.00035
0.566403 11.4031 0.567474 3.20555 1.42538 5.05192 14 7.96186
0.568909 11.3633 0.563462 3.21391 1.42041 5.0198 14 7.92331
0.571414 11.3234 0.559461 3.22232 1.41542 4.98775 14 7.88469
0.57392 11.2832 0.55547 3.23078 1.41041 4.95578 14 7.846
0.576426 11.2429 0.551491 3.23929 1.40537 4.92389 14 7.80724
0.578932 11.2024 0.547523 3.24785 1.4003 4.89207 14 7.76841
0.581437 11.1617 0.543566 3.25646 1.39522 4.86033 14 7.72952
0.583943 11.1208 0.539619 3.26513 1.39011 4.82866 14 7.69055
0.586449 11.0798 0.535683 3.27384 1.38497 4.79707 14 7.65152
0.588955 11.0385 0.531758 3.28261 1.37981 4.76555 14 7.61242
0.59146 10.9971 0.527844 3.29143 1.37463 4.7341 14 7.57326
0.593966 10.9554 0.52394 3.30031 1.36943 4.70272 14 7.53402
0.596472 10.9136 0.520047 3.30924 1.3642 4.67142 14 7.49472
0.598978 10.8715 0.516164 3.31822 1.35894 4.64018 14 7.45535
0.601483 10.8293 0.512291 3.32727 1.35366 4.60902 14 7.41591
0.603989 10.7869 0.508429 3.33637 1.34836 4.57793 14 7.3764
0.606495 10.7443 0.504578 3.34552 1.34304 4.5469 14 7.33683
0.609001 10.7015 0.500736 3.35474 1.33768 4.51595 14 7.29718
0.611507 10.6585 0.496905 3.36402 1.33231 4.48506 14 7.25747
0.614012 10.6153 0.493084 3.37335 1.32691 4.45424 14 7.21769
0.616518 10.5719 0.489273 3.38275 1.32148 4.42349 14 7.17785
