in_000,in_001,in_010,in_011,in_100,in_101,in_110,in_111,circuit_complexity
00,10,01,01,00,01,01,01,3
01,10,01,01,00,01,01,01,5
00,11,01,01,00,01,01,01,3
01,11,01,01,00,01,01,01,4
00,10,00,00,01,01,01,01,2
01,10,00,00,01,01,01,01,3
00,11,00,00,01,01,01,01,3
01,11,00,00,01,01,01,01,3
00,10,01,00,01,01,01,01,4
01,10,01,00,01,01,01,01,2
00,11,01,00,01,01,01,01,5
01,11,01,00,01,01,01,01,3
00,10,00,01,01,01,01,01,3
01,10,00,01,01,01,01,01,5
00,11,00,01,01,01,01,01,3
01,11,00,01,01,01,01,01,4
00,10,01,01,01,01,01,01,2
01,10,01,01,01,01,01,01,2
00,11,01,01,01,01,01,01,3
01,11,01,01,01,01,01,01,2
